CR_07890W_A	EFG1	C3_07020W_A	SSN6	Direct Positive
CR_07890W_A	EFG1	C1_11080W_A	C1_11080W_A	Direct Negative
CR_07890W_A	EFG1	C2_03950W_A	C2_03950W_A	Direct Negative
CR_07890W_A	EFG1	C1_13050W_A	RPL14	Direct Negative
CR_07890W_A	EFG1	C3_04500C_A	RPL19A	Direct Negative
CR_07890W_A	EFG1	C2_00210W_A	RPL38	Direct Negative
CR_07890W_A	EFG1	C1_10390C_A	RPL42	Direct Negative
CR_07890W_A	EFG1	C3_04520C_A	ADE2	Direct Negative
CR_07890W_A	EFG1	C5_01680C_A	CCN1	Direct Negative
CR_07890W_A	EFG1	C6_00870C_A	ILV5	Direct Negative
CR_07890W_A	EFG1	C1_10840C_A	C1_10840C_A	Direct Negative
CR_07890W_A	EFG1	C2_01200C_A	REG1	Direct Negative
CR_07890W_A	EFG1	C1_13250W_A	C1_13250W_A	Direct Negative
CR_07890W_A	EFG1	C5_02630C_A	MNN1	Direct Negative
CR_07890W_A	EFG1	C1_02570C_A	PUT4	Direct Negative
CR_07890W_A	EFG1	C6_03700W_A	ALS1	Direct Dual
CR_07890W_A	EFG1	C6_00440C_A	FET34	Direct Dual
CR_07890W_A	EFG1	C4_00130W_A	RBT5	Direct Positive
CR_07890W_A	EFG1	C7_02040C_A	CUP9	Direct Positive
CR_07890W_A	EFG1	C1_13140C_A	TYE7	Direct Positive
CR_07890W_A	EFG1	C6_00840W_A	GPX2	Direct Positive
CR_07890W_A	EFG1	C4_05900C_A	C4_05900C_A	Direct Positive
CR_07890W_A	EFG1	C5_04140W_A	C5_04140W_A	Direct Positive
CR_07890W_A	EFG1	C2_04050C_A	DCK1	Direct Positive
CR_07890W_A	EFG1	C1_05140W_A	BRG1	Direct Dual
CR_07890W_A	EFG1	C6_00290W_A	C6_00290W_A	Direct Positive
CR_07890W_A	EFG1	C7_01780W_A	LPI9	Direct Positive
CR_07890W_A	EFG1	CR_06000W_A	SOK1	Direct Positive
CR_07890W_A	EFG1	C2_09140C_A	MET10	Direct Positive
CR_07890W_A	EFG1	CR_07800W_A	SAP2	Direct Dual
CR_07890W_A	EFG1	C6_03500C_A	SAP4	Direct Dual
CR_07890W_A	EFG1	C1_11990W_A	C1_11990W_A	Direct Dual
CR_07890W_A	EFG1	C4_01070W_A	HGT17	Direct Negative
CR_07890W_A	EFG1	CR_07050C_A	URA2	Direct Negative
CR_07890W_A	EFG1	C1_01980W_A	HGT1	Direct Dual
CR_07890W_A	EFG1	C1_02150W_A	GAL10	Direct Dual
CR_07890W_A	EFG1	C1_09570W_A	C1_09570W_A	Direct Positive
CR_07890W_A	EFG1	C1_10360C_A	C1_10360C_A	Direct Positive
CR_07890W_A	EFG1	C6_00480C_A	FET31	Direct Dual
CR_07890W_A	EFG1	C1_11480W_A	PHO84	Direct Negative
CR_07890W_A	EFG1	C6_01060C_A	CAN2	Direct Negative
CR_07890W_A	EFG1	C2_00750W_A	C2_00750W_A	Direct Negative
CR_07890W_A	EFG1	C1_05900W_A	C1_05900W_A	Direct Negative
CR_07890W_A	EFG1	C6_02330W_A	C6_02330W_A	Direct Negative
CR_07890W_A	EFG1	C5_04830W_A	SFL2	Direct Dual
CR_07890W_A	EFG1	C5_02650C_A	IFH1	Direct Negative
CR_07890W_A	EFG1	CR_05990C_A	SFL1	Direct Negative
CR_07890W_A	EFG1	C1_09320C_A	C1_09320C_A	Direct Negative
CR_07890W_A	EFG1	C3_07550C_A	C3_07550C_A	Direct Negative
